frequencia,palavra
116,us
59,states
57,china
55,military
52,economic
49,united
48,continue
47,russia
45,influence
43,security
43,cyber
37,iran
35,including
35,capabilities
33,threat
33,political
31,likely
30,use
30,global
30,countries
30,assess
29,weapons
28,nuclear
27,groups
27,attacks
26,north
25,remain
25,interests
25,also
24,year
24,space
24,probably
24,foreign
23,human
22,operations
22,new
22,intelligence
22,infrastructure
22,government
22,efforts
22,chinese
21,risk
21,region
21,international
21,asia
20,information
20,could
19,threats
18,un
18,tensions
18,syria
18,south
18,sanctions
18,regime
18,national
18,isis
18,increase
18,challenges
18,attack
18,allies
17,services
17,seek
17,regional
17,korea
17,high
17,based
17,adversaries
16,years
16,strategic
16,key
16,iranian
16,increasing
16,growth
16,control
16,africa
15,systems
15,support
15,power
15,may
15,expand
14,violence
14,trade
14,range
14,elections
14,capable
14,almost
14,al
14,actors
13,public
13,president
13,partners
13,missile
13,iraq
13,india
13,east
13,continues
13,certainly
12,well
12,sea
12,russian
12,percent
12,past
12,n
12,forces
12,expect
12,espionage
12,election
12,despite
12,critical
12,conflict
12,access
11,western
11,violent
11,threaten
11,terrorist
11,social
11,saudi
11,pressure
11,one
11,oil
11,missiles
11,many
11,leaders
11,large
11,increased
11,diplomatic
11,competitors
10,would
10,using
10,southeast
10,risks
10,opposition
10,moscow
10,korean
10,increasingly
10,however
10,governments
10,e
10,beijing
10,advanced
10,ability
9,wmd
9,turkey
9,term
9,technologies
9,state
9,since
9,resources
9,remains
9,protests
9,present
9,policy
9,particularly
9,networks
9,middle
9,media
9,low
9,level
9,humanitarian
9,health
9,growing
9,energy
9,domestic
9,development
9,commercial
9,central
9,activities
8,world
8,trafficking
8,ties
8,technology
8,target
8,system
8,rights
8,r
8,pursue
8,production
8,online
8,next
8,mexico
8,make
8,long
8,local
8,improve
8,governance
8,gain
8,europe
8,emerging
8,effects
8,drug
8,develop
8,denuclearization
8,data
8,coming
8,challenge
8,ballistic
8,armed
8,allied
8,across
7,within
7,view
7,sudan
7,strike
7,significant
7,shape
7,several
7,sector
7,relations
7,programs
7,prices
7,potential
7,pakistan
7,ongoing
7,might
7,levels
7,led
7,lead
7,iraqi
7,financial
7,exploit
7,eu
7,especially
7,disrupt
7,discontent
7,developing
7,crisis
7,crime
7,country
7,corruption
7,cooperation
7,continued
7,conducted
7,community
7,change
7,campaign
7,areas
7,although
7,air
7,address
6,xi
6,views
6,unlikely
6,transnational
6,tools
6,territory
6,syrian
6,similar
6,see
6,scale
6,rise
6,reforms
6,reform
6,putin
6,progress
6,presidential
6,presence
6,poses
6,poor
6,policies
6,part
6,order
6,number
6,nonstate
6,near
6,million
6,migration
6,markets
6,major
6,maintain
6,leadership
6,law
6,late
6,institutions
6,ing
6,illicit
6,food
6,facing
6,ethnic
6,environment
6,engagement
6,displacement
6,disease
6,damage
6,competition
6,climate
6,civil
6,chemical
6,beyond
6,arabia
6,among
6,activity
5,yemen
5,warfare
5,used
5,unrest
5,undermine
5,uavs
5,try
5,toward
5,tension
5,targets
5,taiwan
5,synthetic
5,still
5,societal
5,slow
5,shia
5,sensitive
5,seeks
5,response
5,religious
5,reducing
5,pursuing
5,private
5,politically
5,plan
5,party
5,partnerships
5,overall
5,organizations
5,offensive
5,ng
5,natural
5,measures
5,means
5,materials
5,mass
5,manufacturing
5,libya
5,kim
